RESIDENCE,State_Resid,County_Resid,WORKPLACE,State_Work,County_Work,Output,Workers_16p
"06037 | Los Angeles County, California",6,37,"06037 | Los Angeles County, California",6,37,Estimate,"4,248,855"
"06073 | San Diego County, California",6,73,"06073 | San Diego County, California",6,73,Estimate,"1,493,425"
"06059 | Orange County, California",6,59,"06059 | Orange County, California",6,59,Estimate,"1,265,070"
"06085 | Santa Clara County, California",6,85,"06085 | Santa Clara County, California",6,85,Estimate,"791,635"
"06065 | Riverside County, California",6,65,"06065 | Riverside County, California",6,65,Estimate,"641,575"
"06071 | San Bernardino County, California",6,71,"06071 | San Bernardino County, California",6,71,Estimate,"586,185"
"06067 | Sacramento County, California",6,67,"06067 | Sacramento County, California",6,67,Estimate,"511,675"
"06001 | Alameda County, California",6,1,"06001 | Alameda County, California",6,1,Estimate,"467,980"
"06075 | San Francisco County, California",6,75,"06075 | San Francisco County, California",6,75,Estimate,"361,120"
"06019 | Fresno County, California",6,19,"06019 | Fresno County, California",6,19,Estimate,"335,565"
"06111 | Ventura County, California",6,111,"06111 | Ventura County, California",6,111,Estimate,"309,345"
"06029 | Kern County, California",6,29,"06029 | Kern County, California",6,29,Estimate,"306,240"
"06013 | Contra Costa County, California",6,13,"06013 | Contra Costa County, California",6,13,Estimate,"289,535"
"06081 | San Mateo County, California",6,81,"06081 | San Mateo County, California",6,81,Estimate,"222,355"
"06097 | Sonoma County, California",6,97,"06097 | Sonoma County, California",6,97,Estimate,"201,875"
"06077 | San Joaquin County, California",6,77,"06077 | San Joaquin County, California",6,77,Estimate,"199,980"
"06037 | Los Angeles County, California",6,37,"06059 | Orange County, California",6,59,Estimate,"191,625"
"06083 | Santa Barbara County, California",6,83,"06083 | Santa Barbara County, California",6,83,Estimate,"189,245"
"06059 | Orange County, California",6,59,"06037 | Los Angeles County, California",6,37,Estimate,"184,475"
"06053 | Monterey County, California",6,53,"06053 | Monterey County, California",6,53,Estimate,"161,785"
"06099 | Stanislaus County, California",6,99,"06099 | Stanislaus County, California",6,99,Estimate,"157,605"
"06107 | Tulare County, California",6,107,"06107 | Tulare County, California",6,107,Estimate,"141,335"
"06071 | San Bernardino County, California",6,71,"06037 | Los Angeles County, California",6,37,Estimate,"134,245"
"06079 | San Luis Obispo County, California",6,79,"06079 | San Luis Obispo County, California",6,79,Estimate,"113,090"
"06095 | Solano County, California",6,95,"06095 | Solano County, California",6,95,Estimate,"111,510"
"06013 | Contra Costa County, California",6,13,"06001 | Alameda County, California",6,1,Estimate,"101,605"
"06061 | Placer County, California",6,61,"06061 | Placer County, California",6,61,Estimate,"101,345"
"06065 | Riverside County, California",6,65,"06071 | San Bernardino County, California",6,71,Estimate,"100,670"
"06087 | Santa Cruz County, California",6,87,"06087 | Santa Cruz County, California",6,87,Estimate,"99,440"
"06001 | Alameda County, California",6,1,"06075 | San Francisco County, California",6,75,Estimate,"99,355"
"06081 | San Mateo County, California",6,81,"06075 | San Francisco County, California",6,75,Estimate,"84,195"
"06041 | Marin County, California",6,41,"06041 | Marin County, California",6,41,Estimate,"81,445"
"06007 | Butte County, California",6,7,"06007 | Butte County, California",6,7,Estimate,"80,320"
"06065 | Riverside County, California",6,65,"06059 | Orange County, California",6,59,Estimate,"74,590"
"06001 | Alameda County, California",6,1,"06085 | Santa Clara County, California",6,85,Estimate,"73,555"
"06047 | Merced County, California",6,47,"06047 | Merced County, California",6,47,Estimate,"68,970"
"06111 | Ventura County, California",6,111,"06037 | Los Angeles County, California",6,37,Estimate,"67,960"
"06071 | San Bernardino County, California",6,71,"06065 | Riverside County, California",6,65,Estimate,"66,865"
"06089 | Shasta County, California",6,89,"06089 | Shasta County, California",6,89,Estimate,"64,420"
"06081 | San Mateo County, California",6,81,"06085 | Santa Clara County, California",6,85,Estimate,"61,165"
"06013 | Contra Costa County, California",6,13,"06075 | San Francisco County, California",6,75,Estimate,"61,090"
"06113 | Yolo County, California",6,113,"06113 | Yolo County, California",6,113,Estimate,"58,070"
"06023 | Humboldt County, California",6,23,"06023 | Humboldt County, California",6,23,Estimate,"56,370"
"06037 | Los Angeles County, California",6,37,"06071 | San Bernardino County, California",6,71,Estimate,"54,975"
"06055 | Napa County, California",6,55,"06055 | Napa County, California",6,55,Estimate,"52,865"
"06065 | Riverside County, California",6,65,"06037 | Los Angeles County, California",6,37,Estimate,"52,865"
"06025 | Imperial County, California",6,25,"06025 | Imperial County, California",6,25,Estimate,"52,495"
"06075 | San Francisco County, California",6,75,"06081 | San Mateo County, California",6,81,Estimate,"50,400"
"06085 | Santa Clara County, California",6,85,"06081 | San Mateo County, California",6,81,Estimate,"46,430"
"06065 | Riverside County, California",6,65,"06073 | San Diego County, California",6,73,Estimate,"44,210"
"06061 | Placer County, California",6,61,"06067 | Sacramento County, California",6,67,Estimate,"43,960"
"06017 | El Dorado County, California",6,17,"06017 | El Dorado County, California",6,17,Estimate,"43,720"
"06031 | Kings County, California",6,31,"06031 | Kings County, California",6,31,Estimate,"42,370"
"06067 | Sacramento County, California",6,67,"06061 | Placer County, California",6,61,Estimate,"41,720"
"06001 | Alameda County, California",6,1,"06013 | Contra Costa County, California",6,13,Estimate,"41,235"
"06037 | Los Angeles County, California",6,37,"06111 | Ventura County, California",6,111,Estimate,"38,330"
"06085 | Santa Clara County, California",6,85,"06001 | Alameda County, California",6,1,Estimate,"38,120"
"06001 | Alameda County, California",6,1,"06081 | San Mateo County, California",6,81,Estimate,"37,275"
"06071 | San Bernardino County, California",6,71,"06059 | Orange County, California",6,59,Estimate,"36,380"
"06045 | Mendocino County, California",6,45,"06045 | Mendocino County, California",6,45,Estimate,"33,125"
"06039 | Madera County, California",6,39,"06039 | Madera County, California",6,39,Estimate,"32,635"
"06067 | Sacramento County, California",6,67,"06113 | Yolo County, California",6,113,Estimate,"30,700"
"06057 | Nevada County, California",6,57,"06057 | Nevada County, California",6,57,Estimate,"29,530"
"06041 | Marin County, California",6,41,"06075 | San Francisco County, California",6,75,Estimate,"28,885"
"06075 | San Francisco County, California",6,75,"06085 | Santa Clara County, California",6,85,Estimate,"27,985"
"06077 | San Joaquin County, California",6,77,"06001 | Alameda County, California",6,1,Estimate,"27,645"
"06075 | San Francisco County, California",6,75,"06001 | Alameda County, California",6,1,Estimate,"22,550"
"06113 | Yolo County, California",6,113,"06067 | Sacramento County, California",6,67,Estimate,"22,530"
"06101 | Sutter County, California",6,101,"06101 | Sutter County, California",6,101,Estimate,"21,775"
"06017 | El Dorado County, California",6,17,"06067 | Sacramento County, California",6,67,Estimate,"21,690"
"06099 | Stanislaus County, California",6,99,"06077 | San Joaquin County, California",6,77,Estimate,"21,400"
"06095 | Solano County, California",6,95,"06013 | Contra Costa County, California",6,13,Estimate,"19,485"
"06087 | Santa Cruz County, California",6,87,"06085 | Santa Clara County, California",6,85,Estimate,"17,935"
"06033 | Lake County, California",6,33,"06033 | Lake County, California",6,33,Estimate,"16,720"
"06109 | Tuolumne County, California",6,109,"06109 | Tuolumne County, California",6,109,Estimate,"16,145"
"06097 | Sonoma County, California",6,97,"06041 | Marin County, California",6,41,Estimate,"16,105"
"06103 | Tehama County, California",6,103,"06103 | Tehama County, California",6,103,Estimate,"15,800"
"06085 | Santa Clara County, California",6,85,"06075 | San Francisco County, California",6,75,Estimate,"15,470"
"06037 | Los Angeles County, California",6,37,"06065 | Riverside County, California",6,65,Estimate,"15,225"
"06059 | Orange County, California",6,59,"06065 | Riverside County, California",6,65,Estimate,"14,965"
"06093 | Siskiyou County, California",6,93,"06093 | Siskiyou County, California",6,93,Estimate,"14,735"
"06013 | Contra Costa County, California",6,13,"06085 | Santa Clara County, California",6,85,Estimate,"14,020"
"06059 | Orange County, California",6,59,"06071 | San Bernardino County, California",6,71,Estimate,"14,020"
"06073 | San Diego County, California",6,73,"06059 | Orange County, California",6,59,Estimate,"13,305"
"06115 | Yuba County, California",6,115,"06115 | Yuba County, California",6,115,Estimate,"12,955"
"06081 | San Mateo County, California",6,81,"06001 | Alameda County, California",6,1,Estimate,"12,940"
"06111 | Ventura County, California",6,111,"06083 | Santa Barbara County, California",6,83,Estimate,"12,835"
"06095 | Solano County, California",6,95,"06055 | Napa County, California",6,55,Estimate,"12,660"
"06069 | San Benito County, California",6,69,"06069 | San Benito County, California",6,69,Estimate,"11,970"
"06013 | Contra Costa County, California",6,13,"06081 | San Mateo County, California",6,81,Estimate,"11,870"
"06077 | San Joaquin County, California",6,77,"06099 | Stanislaus County, California",6,99,Estimate,"11,825"
"06067 | Sacramento County, California",6,67,"06077 | San Joaquin County, California",6,77,Estimate,"11,270"
"06059 | Orange County, California",6,59,"06073 | San Diego County, California",6,73,Estimate,"11,165"
"06047 | Merced County, California",6,47,"06099 | Stanislaus County, California",6,99,Estimate,"11,130"
"06077 | San Joaquin County, California",6,77,"06085 | Santa Clara County, California",6,85,Estimate,"11,105"
"06019 | Fresno County, California",6,19,"06039 | Madera County, California",6,39,Estimate,"10,545"
"06039 | Madera County, California",6,39,"06019 | Fresno County, California",6,19,Estimate,"10,530"
"06053 | Monterey County, California",6,53,"06087 | Santa Cruz County, California",6,87,Estimate,"10,175"
"06095 | Solano County, California",6,95,"06075 | San Francisco County, California",6,75,Estimate,"10,150"
"06095 | Solano County, California",6,95,"06001 | Alameda County, California",6,1,Estimate,"10,085"
"06107 | Tulare County, California",6,107,"06019 | Fresno County, California",6,19,Estimate,"9,555"
"06069 | San Benito County, California",6,69,"06085 | Santa Clara County, California",6,85,Estimate,"9,245"
"06079 | San Luis Obispo County, California",6,79,"06083 | Santa Barbara County, California",6,83,Estimate,"8,980"
"06009 | Calaveras County, California",6,9,"06009 | Calaveras County, California",6,9,Estimate,"8,915"
"06077 | San Joaquin County, California",6,77,"06067 | Sacramento County, California",6,67,Estimate,"8,740"
"06029 | Kern County, California",6,29,"06037 | Los Angeles County, California",6,37,Estimate,"8,730"
"06013 | Contra Costa County, California",6,13,"06041 | Marin County, California",6,41,Estimate,"8,570"
"06067 | Sacramento County, California",6,67,"06017 | El Dorado County, California",6,17,Estimate,"8,325"
"06005 | Amador County, California",6,5,"06005 | Amador County, California",6,5,Estimate,"8,285"
"06019 | Fresno County, California",6,19,"06107 | Tulare County, California",6,107,Estimate,"8,045"
"06035 | Lassen County, California",6,35,"06035 | Lassen County, California",6,35,Estimate,"7,925"
"06015 | Del Norte County, California",6,15,"06015 | Del Norte County, California",6,15,Estimate,"7,870"
"06073 | San Diego County, California",6,73,"06065 | Riverside County, California",6,65,Estimate,"7,750"
"06013 | Contra Costa County, California",6,13,"06095 | Solano County, California",6,95,Estimate,"7,710"
"06083 | Santa Barbara County, California",6,83,"06079 | San Luis Obispo County, California",6,79,Estimate,"7,655"
"06037 | Los Angeles County, California",6,37,"06029 | Kern County, California",6,29,Estimate,"7,565"
"06027 | Inyo County, California",6,27,"06027 | Inyo County, California",6,27,Estimate,"7,115"
"06051 | Mono County, California",6,51,"06051 | Mono County, California",6,51,Estimate,"7,105"
"06073 | San Diego County, California",6,73,"06037 | Los Angeles County, California",6,37,Estimate,"6,990"
"06097 | Sonoma County, California",6,97,"06075 | San Francisco County, California",6,75,Estimate,"6,870"
"06099 | Stanislaus County, California",6,99,"06047 | Merced County, California",6,47,Estimate,"6,870"
"06099 | Stanislaus County, California",6,99,"06001 | Alameda County, California",6,1,Estimate,"6,825"
"06011 | Colusa County, California",6,11,"06011 | Colusa County, California",6,11,Estimate,"6,720"
"06075 | San Francisco County, California",6,75,"06041 | Marin County, California",6,41,Estimate,"6,695"
"06021 | Glenn County, California",6,21,"06021 | Glenn County, California",6,21,Estimate,"6,565"
"06087 | Santa Cruz County, California",6,87,"06053 | Monterey County, California",6,53,Estimate,"6,490"
"06107 | Tulare County, California",6,107,"06031 | Kings County, California",6,31,Estimate,"6,480"
"06077 | San Joaquin County, California",6,77,"06013 | Contra Costa County, California",6,13,Estimate,"6,350"
"06063 | Plumas County, California",6,63,"06063 | Plumas County, California",6,63,Estimate,"6,275"
"06067 | Sacramento County, California",6,67,"06095 | Solano County, California",6,95,Estimate,"5,960"
"06031 | Kings County, California",6,31,"06019 | Fresno County, California",6,19,Estimate,"5,775"
"06107 | Tulare County, California",6,107,"06029 | Kern County, California",6,29,Estimate,"5,615"
"06095 | Solano County, California",6,95,"06067 | Sacramento County, California",6,67,Estimate,"5,575"
"06101 | Sutter County, California",6,101,"06115 | Yuba County, California",6,115,Estimate,"5,555"
"06115 | Yuba County, California",6,115,"06101 | Sutter County, California",6,101,Estimate,"5,490"
"06053 | Monterey County, California",6,53,"06085 | Santa Clara County, California",6,85,Estimate,"5,440"
"06057 | Nevada County, California",6,57,"06061 | Placer County, California",6,61,Estimate,"5,240"
"06095 | Solano County, California",6,95,"06041 | Marin County, California",6,41,Estimate,"5,240"
"06037 | Los Angeles County, California",6,37,"06073 | San Diego County, California",6,73,Estimate,"5,210"
"06019 | Fresno County, California",6,19,"06031 | Kings County, California",6,31,Estimate,"5,125"
"06095 | Solano County, California",6,95,"06113 | Yolo County, California",6,113,Estimate,"5,105"
"06043 | Mariposa County, California",6,43,"06043 | Mariposa County, California",6,43,Estimate,"5,015"
"06113 | Yolo County, California",6,113,"06095 | Solano County, California",6,95,Estimate,"4,950"
"06099 | Stanislaus County, California",6,99,"06085 | Santa Clara County, California",6,85,Estimate,"4,805"
"06001 | Alameda County, California",6,1,"06041 | Marin County, California",6,41,Estimate,"4,615"
"06041 | Marin County, California",6,41,"06097 | Sonoma County, California",6,97,Estimate,"4,500"
"06085 | Santa Clara County, California",6,85,"06087 | Santa Cruz County, California",6,87,Estimate,"4,375"
"06055 | Napa County, California",6,55,"06095 | Solano County, California",6,95,Estimate,"4,355"
"06047 | Merced County, California",6,47,"06085 | Santa Clara County, California",6,85,Estimate,"4,320"
"06041 | Marin County, California",6,41,"06001 | Alameda County, California",6,1,Estimate,"4,205"
"06097 | Sonoma County, California",6,97,"06055 | Napa County, California",6,55,Estimate,"4,165"
"06075 | San Francisco County, California",6,75,"06013 | Contra Costa County, California",6,13,Estimate,"4,100"
"06105 | Trinity County, California",6,105,"06105 | Trinity County, California",6,105,Estimate,"4,060"
"06031 | Kings County, California",6,31,"06107 | Tulare County, California",6,107,Estimate,"4,010"
"06017 | El Dorado County, California",6,17,"06061 | Placer County, California",6,61,Estimate,"3,970"
"06103 | Tehama County, California",6,103,"06089 | Shasta County, California",6,89,Estimate,"3,565"
"06085 | Santa Clara County, California",6,85,"06013 | Contra Costa County, California",6,13,Estimate,"3,155"
"06061 | Placer County, California",6,61,"06113 | Yolo County, California",6,113,Estimate,"3,130"
"06061 | Placer County, California",6,61,"06057 | Nevada County, California",6,57,Estimate,"3,125"
"06101 | Sutter County, California",6,101,"06067 | Sacramento County, California",6,67,Estimate,"3,055"
"06095 | Solano County, California",6,95,"06097 | Sonoma County, California",6,97,Estimate,"2,935"
"06085 | Santa Clara County, California",6,85,"06053 | Monterey County, California",6,53,Estimate,"2,820"
"06049 | Modoc County, California",6,49,"06049 | Modoc County, California",6,49,Estimate,"2,810"
"06055 | Napa County, California",6,55,"06097 | Sonoma County, California",6,97,Estimate,"2,630"
"06067 | Sacramento County, California",6,67,"06001 | Alameda County, California",6,1,Estimate,"2,620"
"06115 | Yuba County, California",6,115,"06067 | Sacramento County, California",6,67,Estimate,"2,620"
"06009 | Calaveras County, California",6,9,"06077 | San Joaquin County, California",6,77,Estimate,"2,615"
"06069 | San Benito County, California",6,69,"06053 | Monterey County, California",6,53,Estimate,"2,580"
"06029 | Kern County, California",6,29,"06107 | Tulare County, California",6,107,Estimate,"2,470"
"06001 | Alameda County, California",6,1,"06077 | San Joaquin County, California",6,77,Estimate,"2,460"
"06041 | Marin County, California",6,41,"06081 | San Mateo County, California",6,81,Estimate,"2,445"
"06071 | San Bernardino County, California",6,71,"06073 | San Diego County, California",6,73,Estimate,"2,415"
"06115 | Yuba County, California",6,115,"06061 | Placer County, California",6,61,Estimate,"2,415"
"06067 | Sacramento County, California",6,67,"06075 | San Francisco County, California",6,75,Estimate,"2,395"
"06097 | Sonoma County, California",6,97,"06001 | Alameda County, California",6,1,Estimate,"2,320"
"06077 | San Joaquin County, California",6,77,"06075 | San Francisco County, California",6,75,Estimate,"2,305"
"06061 | Placer County, California",6,61,"06115 | Yuba County, California",6,115,Estimate,"2,200"
"06095 | Solano County, California",6,95,"06081 | San Mateo County, California",6,81,Estimate,"2,195"
"06083 | Santa Barbara County, California",6,83,"06111 | Ventura County, California",6,111,Estimate,"2,175"
"06077 | San Joaquin County, California",6,77,"06081 | San Mateo County, California",6,81,Estimate,"2,160"
"06013 | Contra Costa County, California",6,13,"06077 | San Joaquin County, California",6,77,Estimate,"2,140"
"06067 | Sacramento County, California",6,67,"06013 | Contra Costa County, California",6,13,Estimate,"2,085"
"06081 | San Mateo County, California",6,81,"06013 | Contra Costa County, California",6,13,Estimate,"2,075"
"06037 | Los Angeles County, California",6,37,"06083 | Santa Barbara County, California",6,83,Estimate,"2,035"
"06041 | Marin County, California",6,41,"06013 | Contra Costa County, California",6,13,Estimate,"1,960"
"06055 | Napa County, California",6,55,"06013 | Contra Costa County, California",6,13,Estimate,"1,885"
"06021 | Glenn County, California",6,21,"06007 | Butte County, California",6,7,Estimate,"1,880"
"06101 | Sutter County, California",6,101,"06113 | Yolo County, California",6,113,Estimate,"1,835"
"06089 | Shasta County, California",6,89,"06103 | Tehama County, California",6,103,Estimate,"1,820"
"06067 | Sacramento County, California",6,67,"06085 | Santa Clara County, California",6,85,Estimate,"1,815"
"06001 | Alameda County, California",6,1,"06095 | Solano County, California",6,95,Estimate,"1,780"
"06047 | Merced County, California",6,47,"06077 | San Joaquin County, California",6,77,Estimate,"1,750"
"06053 | Monterey County, California",6,53,"06069 | San Benito County, California",6,69,Estimate,"1,725"
"06055 | Napa County, California",6,55,"06075 | San Francisco County, California",6,75,Estimate,"1,720"
"06047 | Merced County, California",6,47,"06019 | Fresno County, California",6,19,Estimate,"1,715"
"06095 | Solano County, California",6,95,"06085 | Santa Clara County, California",6,85,Estimate,"1,690"
"06013 | Contra Costa County, California",6,13,"06055 | Napa County, California",6,55,Estimate,"1,670"
"06025 | Imperial County, California",6,25,"06065 | Riverside County, California",6,65,Estimate,"1,655"
"06101 | Sutter County, California",6,101,"06007 | Butte County, California",6,7,Estimate,"1,620"
"06037 | Los Angeles County, California",6,37,"06085 | Santa Clara County, California",6,85,Estimate,"1,600"
"06103 | Tehama County, California",6,103,"06007 | Butte County, California",6,7,Estimate,"1,560"
"06099 | Stanislaus County, California",6,99,"06013 | Contra Costa County, California",6,13,Estimate,"1,545"
"06005 | Amador County, California",6,5,"06067 | Sacramento County, California",6,67,Estimate,"1,525"
"06039 | Madera County, California",6,39,"06047 | Merced County, California",6,47,Estimate,"1,520"
"06079 | San Luis Obispo County, California",6,79,"06053 | Monterey County, California",6,53,Estimate,"1,510"
"06047 | Merced County, California",6,47,"06039 | Madera County, California",6,39,Estimate,"1,505"
"06037 | Los Angeles County, California",6,37,"06075 | San Francisco County, California",6,75,Estimate,"1,495"
"06013 | Contra Costa County, California",6,13,"06067 | Sacramento County, California",6,67,Estimate,"1,490"
"06101 | Sutter County, California",6,101,"06061 | Placer County, California",6,61,Estimate,"1,475"
"06057 | Nevada County, California",6,57,"06067 | Sacramento County, California",6,67,Estimate,"1,455"
"06085 | Santa Clara County, California",6,85,"06069 | San Benito County, California",6,69,Estimate,"1,440"
"06067 | Sacramento County, California",6,67,"06005 | Amador County, California",6,5,Estimate,"1,410"
"06007 | Butte County, California",6,7,"06101 | Sutter County, California",6,101,Estimate,"1,385"
"06033 | Lake County, California",6,33,"06055 | Napa County, California",6,55,Estimate,"1,370"
"06033 | Lake County, California",6,33,"06097 | Sonoma County, California",6,97,Estimate,"1,370"
"06099 | Stanislaus County, California",6,99,"06067 | Sacramento County, California",6,67,Estimate,"1,365"
"06087 | Santa Cruz County, California",6,87,"06081 | San Mateo County, California",6,81,Estimate,"1,290"
"06055 | Napa County, California",6,55,"06041 | Marin County, California",6,41,Estimate,"1,280"
"06061 | Placer County, California",6,61,"06017 | El Dorado County, California",6,17,Estimate,"1,250"
"06033 | Lake County, California",6,33,"06045 | Mendocino County, California",6,45,Estimate,"1,210"
"06111 | Ventura County, California",6,111,"06059 | Orange County, California",6,59,Estimate,"1,205"
"06041 | Marin County, California",6,41,"06085 | Santa Clara County, California",6,85,Estimate,"1,195"
"06073 | San Diego County, California",6,73,"06071 | San Bernardino County, California",6,71,Estimate,"1,190"
"06083 | Santa Barbara County, California",6,83,"06037 | Los Angeles County, California",6,37,Estimate,"1,180"
"06097 | Sonoma County, California",6,97,"06085 | Santa Clara County, California",6,85,Estimate,"1,160"
"06113 | Yolo County, California",6,113,"06061 | Placer County, California",6,61,Estimate,"1,150"
"06007 | Butte County, California",6,7,"06115 | Yuba County, California",6,115,Estimate,"1,140"
"06067 | Sacramento County, California",6,67,"06101 | Sutter County, California",6,101,Estimate,"1,130"
"06055 | Napa County, California",6,55,"06001 | Alameda County, California",6,1,Estimate,"1,120"
"06013 | Contra Costa County, California",6,13,"06097 | Sonoma County, California",6,97,Estimate,"1,115"
"06067 | Sacramento County, California",6,67,"06115 | Yuba County, California",6,115,Estimate,"1,115"
"06019 | Fresno County, California",6,19,"06029 | Kern County, California",6,29,Estimate,"1,110"
"06077 | San Joaquin County, California",6,77,"06095 | Solano County, California",6,95,Estimate,"1,105"
"06025 | Imperial County, California",6,25,"06073 | San Diego County, California",6,73,Estimate,"1,100"
"06009 | Calaveras County, California",6,9,"06109 | Tuolumne County, California",6,109,Estimate,"1,070"
"06019 | Fresno County, California",6,19,"06047 | Merced County, California",6,47,Estimate,"1,070"
"06071 | San Bernardino County, California",6,71,"06029 | Kern County, California",6,29,Estimate,"1,060"
"06099 | Stanislaus County, California",6,99,"06081 | San Mateo County, California",6,81,Estimate,"1,060"
"06001 | Alameda County, California",6,1,"06067 | Sacramento County, California",6,67,Estimate,"1,050"
"06067 | Sacramento County, California",6,67,"06081 | San Mateo County, California",6,81,Estimate,"1,045"
"06007 | Butte County, California",6,7,"06021 | Glenn County, California",6,21,Estimate,"1,040"
"06017 | El Dorado County, California",6,17,"06113 | Yolo County, California",6,113,Estimate,"1,040"
"06097 | Sonoma County, California",6,97,"06045 | Mendocino County, California",6,45,Estimate,"1,030"
"06097 | Sonoma County, California",6,97,"06081 | San Mateo County, California",6,81,Estimate,"1,010"
"06047 | Merced County, California",6,47,"06001 | Alameda County, California",6,1,Estimate,"1,005"
"06069 | San Benito County, California",6,69,"06087 | Santa Cruz County, California",6,87,Estimate,"1,005"
"06001 | Alameda County, California",6,1,"06097 | Sonoma County, California",6,97,Estimate,985
"06009 | Calaveras County, California",6,9,"06005 | Amador County, California",6,5,Estimate,980
"06045 | Mendocino County, California",6,45,"06097 | Sonoma County, California",6,97,Estimate,975
"06011 | Colusa County, California",6,11,"06113 | Yolo County, California",6,113,Estimate,970
"06115 | Yuba County, California",6,115,"06057 | Nevada County, California",6,57,Estimate,970
"06081 | San Mateo County, California",6,81,"06041 | Marin County, California",6,41,Estimate,965
"06097 | Sonoma County, California",6,97,"06013 | Contra Costa County, California",6,13,Estimate,965
"06075 | San Francisco County, California",6,75,"06097 | Sonoma County, California",6,97,Estimate,955
"06037 | Los Angeles County, California",6,37,"06001 | Alameda County, California",6,1,Estimate,935
"06007 | Butte County, California",6,7,"06103 | Tehama County, California",6,103,Estimate,915
"06031 | Kings County, California",6,31,"06029 | Kern County, California",6,29,Estimate,915
"06057 | Nevada County, California",6,57,"06115 | Yuba County, California",6,115,Estimate,905
"06061 | Placer County, California",6,61,"06095 | Solano County, California",6,95,Estimate,895
"06073 | San Diego County, California",6,73,"06025 | Imperial County, California",6,25,Estimate,890
"06097 | Sonoma County, California",6,97,"06095 | Solano County, California",6,95,Estimate,885
"06115 | Yuba County, California",6,115,"06007 | Butte County, California",6,7,Estimate,865
"06059 | Orange County, California",6,59,"06111 | Ventura County, California",6,111,Estimate,850
"06077 | San Joaquin County, California",6,77,"06113 | Yolo County, California",6,113,Estimate,845
"06099 | Stanislaus County, California",6,99,"06075 | San Francisco County, California",6,75,Estimate,840
"06091 | Sierra County, California",6,91,"06091 | Sierra County, California",6,91,Estimate,825
"06087 | Santa Cruz County, California",6,87,"06001 | Alameda County, California",6,1,Estimate,820
"06061 | Placer County, California",6,61,"06085 | Santa Clara County, California",6,85,Estimate,815
"06101 | Sutter County, California",6,101,"06011 | Colusa County, California",6,11,Estimate,815
"06067 | Sacramento County, California",6,67,"06097 | Sonoma County, California",6,97,Estimate,805
"06027 | Inyo County, California",6,27,"06051 | Mono County, California",6,51,Estimate,800
"06085 | Santa Clara County, California",6,85,"06071 | San Bernardino County, California",6,71,Estimate,795
"06019 | Fresno County, California",6,19,"06077 | San Joaquin County, California",6,77,Estimate,770
"06021 | Glenn County, California",6,21,"06103 | Tehama County, California",6,103,Estimate,760
"06103 | Tehama County, California",6,103,"06021 | Glenn County, California",6,21,Estimate,745
"06029 | Kern County, California",6,29,"06071 | San Bernardino County, California",6,71,Estimate,740
"06053 | Monterey County, California",6,53,"06079 | San Luis Obispo County, California",6,79,Estimate,740
"06067 | Sacramento County, California",6,67,"06099 | Stanislaus County, California",6,99,Estimate,725
"06099 | Stanislaus County, California",6,99,"06109 | Tuolumne County, California",6,109,Estimate,710
"06087 | Santa Cruz County, California",6,87,"06075 | San Francisco County, California",6,75,Estimate,705
"06001 | Alameda County, California",6,1,"06037 | Los Angeles County, California",6,37,Estimate,695
"06079 | San Luis Obispo County, California",6,79,"06037 | Los Angeles County, California",6,37,Estimate,695
"06085 | Santa Clara County, California",6,85,"06037 | Los Angeles County, California",6,37,Estimate,695
"06047 | Merced County, California",6,47,"06069 | San Benito County, California",6,69,Estimate,690
"06019 | Fresno County, California",6,19,"06037 | Los Angeles County, California",6,37,Estimate,675
"06079 | San Luis Obispo County, California",6,79,"06029 | Kern County, California",6,29,Estimate,670
"06077 | San Joaquin County, California",6,77,"06005 | Amador County, California",6,5,Estimate,650
"06037 | Los Angeles County, California",6,37,"06067 | Sacramento County, California",6,67,Estimate,645
"06115 | Yuba County, California",6,115,"06113 | Yolo County, California",6,113,Estimate,640
"06107 | Tulare County, California",6,107,"06037 | Los Angeles County, California",6,37,Estimate,635
"06007 | Butte County, California",6,7,"06067 | Sacramento County, California",6,67,Estimate,630
"06009 | Calaveras County, California",6,9,"06067 | Sacramento County, California",6,67,Estimate,630
"06061 | Placer County, California",6,61,"06081 | San Mateo County, California",6,81,Estimate,630
"06037 | Los Angeles County, California",6,37,"06081 | San Mateo County, California",6,81,Estimate,625
"06061 | Placer County, California",6,61,"06001 | Alameda County, California",6,1,Estimate,625
"06009 | Calaveras County, California",6,9,"06099 | Stanislaus County, California",6,99,Estimate,620
"06019 | Fresno County, California",6,19,"06085 | Santa Clara County, California",6,85,Estimate,620
"06055 | Napa County, California",6,55,"06081 | San Mateo County, California",6,81,Estimate,620
"06075 | San Francisco County, California",6,75,"06095 | Solano County, California",6,95,Estimate,620
"06113 | Yolo County, California",6,113,"06075 | San Francisco County, California",6,75,Estimate,615
"06013 | Contra Costa County, California",6,13,"06037 | Los Angeles County, California",6,37,Estimate,605
"06013 | Contra Costa County, California",6,13,"06113 | Yolo County, California",6,113,Estimate,595
"06109 | Tuolumne County, California",6,109,"06009 | Calaveras County, California",6,9,Estimate,595
"06001 | Alameda County, California",6,1,"06099 | Stanislaus County, California",6,99,Estimate,590
"06113 | Yolo County, California",6,113,"06001 | Alameda County, California",6,1,Estimate,590
"06017 | El Dorado County, California",6,17,"06085 | Santa Clara County, California",6,85,Estimate,580
"06039 | Madera County, California",6,39,"06043 | Mariposa County, California",6,43,Estimate,575
